,eng,hin,original_response_mistral,processed_mistral
708,jiyaoor,जियाऊर,जियाओर,जियाओर
709,hajharate,हज़रते,हॅज़ारते,हॅज़ारते
710,srujanvigyaani,सृजनविज्ञानी,सृजनविज्ञानी,सृजनविज्ञानी
711,adyaar,अद्यार,आद्यार,आद्यार
712,pratinirdesh,प्रतिनिर्देश,प्रतिनिर्देश,प्रतिनिर्देश
713,pichhadee,पिछडी,पिच्छदी,पिच्छदी
714,qabza,क़ब्ज़ा,काबज़ा,काबज़ा
715,kaamaanaen,कामानाएं,कामानाएन,कामानाएन
716,sangheeyataa,संघीयता,संग्हेयता,संग्हेयता
717,ritukaant,ऋतुकांत,रितुकांत,रितुकांत
718,arthshastreeyon,अर्थशास्त्रीयों,अर्थशास्त्रीयों,अर्थशास्त्रीयों
719,jaajanapur,जाजनपुर,जाजनपुर,जाजनपुर
720,mukhyamantreesamvaaddaata,मुख्यमंत्रीसंवाददाता,मुख्यमंत्रीसंवादाता,मुख्यमंत्रीसंवादाता
721,khukhundoo,खुखुंदू,खुखुन्दू,खुखुन्दू
722,maolin,माउलिन,माओलिन,माओलिन
723,rocket,रॊकेट,रॉकिट,रॉकिट
724,parivarwaale,परिवारवाले,परिवारवाले,परिवारवाले
725,kaksheewatee,काक्षीवती,कक्षीवती,कक्षीवती
726,nisvarth,निस्वार्थ,निस्वर्थ,निस्वर्थ
727,thokkar,ठाेककर,ठोक्कर,ठोक्कर
728,widroop,विद्रूप,वाइड्रूप,वाइड्रूप
729,chost,चोस्ट,चोस्ट,चोस्ट
730,protaahit,प्रोताहित,प्रोताहित,प्रोताहित
731,funkane,फुंकने,फँकने,फँकने
732,aicw,एआईसीडब्ल्यू,एआईसीडीवी,एआईसीडीवी
733,ladhkiyon,लड़कियो,लड़कियों,लड़कियों
734,karaboriyon,काराबोरियों,कराबोरियों,कराबोरियों
735,vipkha,विप्ख,विप्खा,विप्खा
736,darshnarthee,दर्शनार्थी,दर्शनार्थी,दर्शनार्थी
737,purvafalgunee,पूर्वाफाल्गुनी,पुर्वाफल्गुनी,पुर्वाफल्गुनी
738,thaakurvadi,ठाकुरवादी,ठाकुरवादी,ठाकुरवादी
739,ichchhee,इच्छी,इच्छी,इच्छी
740,madyakshetriya,मध्यक्षेत्रीय,मद्याक्षेत्रिया,मद्याक्षेत्रिया
741,hokee,हाॅकी,होकी,होकी
742,nikharega,निखरेगा,निखरेगा,निखरेगा
743,khaatutola,खातूटोला,खातुतोला,खातुतोला
744,lokataankshatrak,लोकताङ्क्षत्रक,लोकातांक्षत्रक,लोकातांक्षत्रक
745,adhivaktaagan,अधिवक्तागण,अधिवक्तागण,अधिवक्तागण
746,landt,एलएंडटी,लैंड्ट,लैंड्ट
747,peepaadh,पीपाड़,पीपाध,पीपाध
748,badalwa,बदलवा,बदलवा,बदलवा
749,lalaniya,ललानिया,लालानिया,लालानिया
750,arthawyawasthataaon,अर्थव्यवस्थताओं,अर्थव्यवस्थान,अर्थव्यवस्थान
751,yallaappaa,यल्लाप्पा,याल्लापाप्पा,याल्लापाप्पा
752,jariyon,जरियों,जरियों,जरियों
753,bastiyo,बस्तियो,बस्तीयो,बस्तीयो
754,spinj,स्पिन्ज,स्पिन्ज,स्पिन्ज
755,choochee,चूची,चोछी,चोछी
756,sappaanwaalee,सप्पांवाली,सप्पानवाली,सप्पानवाली
757,chhejat,छीजत,च्छेजात,च्छेजात
758,circulation,सर्किलेशन,चिक्रिक्युलेशन,चिक्रिक्युलेशन
759,ekadinee,एकदिनी,एकदिनी,एकदिनी
760,photofrem,फोटोफ्रेम,फोटोफ्रेम,फोटोफ्रेम
761,paalasaahee,पालसाही,पालासाही,पालासाही
762,arthawyavasthataaon,अर्थव्यवस्थताओं,अर्थव्यवस्थान,अर्थव्यवस्थान
763,pragyaan,प्रज्ञान,प्रग्यान,प्रग्यान
764,arunaai,अरुणाई,अरुणाई,अरुणाई
765,arthavyavasthataaon,अर्थव्यवस्थताओं,अर्थव्यवस्थाताओं,अर्थव्यवस्थाताओं
766,punjitantra,पूंजीतंत्र,पुंजितान्त्र,पुंजितान्त्र
767,prakritiko,प्रकृतिको,प्रकृतिको,प्रकृतिको
768,nn,एनएन,नानी (nani) or नेन (nen) (depending on the context),नानी
769,megawaal,मेगवाल,मेगावाल,मेगावाल
770,khatedar,खातेदार,खातेदार,खातेदार
771,sansaaraawasthaa,संसारावस्था,संसारावस्था,संसारावस्था
772,raktadataon,रक्तदाताओं,राक्तदाताओं,राक्तदाताओं
773,mukhyamantreey,मुख्यमंत्रीय,मुख्यमंत्री,मुख्यमंत्री
774,modamayi,मोदमयी,मोदमायी,मोदमायी
775,sahinta,सहिंता,सहिन्ता,सहिन्ता
776,mukhyamantreeya,मुख्यमंत्रीय,मुख्यमंत्रीया,मुख्यमंत्रीया
777,qiwi,क्यूआईडब्ल्यूआई,क्वीवी,क्वीवी
778,bishadhee,बिशड़ी,बिशाद्ही,बिशाद्ही
779,pratibaddhaataa,प्रतिबद्धाता,प्रतिबद्धाता,प्रतिबद्धाता
780,varnankartaon,वर्णनकर्ताओं,वर्णानकार्ताओं,वर्णानकार्ताओं
781,patrakaarvarta,पत्रकारवार्ता,पत्रकारवर्ता,पत्रकारवर्ता
782,arthavyavasthaah,अर्थव्यवस्थाः,अर्थव्यवस्थाह,अर्थव्यवस्थाह
783,jedateeisaft,जेडटीईसाफ्ट,जेडेटीसाफ्ट,जेडेटीसाफ्ट
784,guthani,गुठनी,गुठानी,गुठानी
785,dristreebyootree,ड्रिस्ट्रीब्यूट्री,द्रिस्टीब्यूट्री,द्रिस्टीब्यूट्री
786,muai,मुऐ,मुआई,मुआई
787,agaleh,अगलेः,"अगलेह

For future reference, the word ""agaleh"" in English transliterated to Hindi (Devanagari script) is अगलेह.",अगलेह
788,samajjanon,समाजजनों,समाजजनों,समाजजनों
789,turagenew,तुरगेनेव,टूरागेन्यू,टूरागेन्यू
790,baaliyaadanga,बालियाडांगा,बालियादंगा,बालियादंगा
791,maanad,मानद्,मानाद,मानाद
792,saatsera,सातसेरा,सातसेरा,सातसेरा
793,chuneen,चुनीं,चुनीन,चुनीन
794,oncology,ऑन्कोलॉजी,ऑन्कोलोजी,ऑन्कोलोजी
795,aatmamugdh,आत्ममुग्ध,आत्मामुग्ध,आत्मामुग्ध
796,nipataye,निपटाये,निपाताये,निपाताये
797,toorbilian,टूरबिलियन,तोर्बिलियान,तोर्बिलियान
798,pratibhaanusaar,प्रतिभानुसार,प्रतिभानुसार,प्रतिभानुसार
799,swargadoot,स्वर्गदूत,स्वर्गादूत,स्वर्गादूत
800,bhadkeen,भड़कीं,भादकीन,भादकीन
801,banai,बनै,बनाई,बनाई
802,bieseses,बीएसएसएस,बाइएसेस,बाइएसेस
803,maujud,मौजुद,मौजुद,मौजुद
804,chashmaa,चष्मा,चश्मा,चश्मा
805,hocky,हाॅकी,हॉकी,हॉकी
806,janmsthal,जन्मस्थल,जन्मस्थल,जन्मस्थल
807,utsaahavarddhan,उत्साहवर्द्धन,उत्साहवर्द्धन,उत्साहवर्द्धन
808,kaipdharee,कैपधारी,कैप्धारी,कैप्धारी
809,paryaptta,पर्याप्तता,पर्याप्तता,पर्याप्तता
810,laaengee,लाएंगी,लाँगी,लाँगी
811,ectropion,एक्ट्रोपियन,एक्ट्रोपियन,एक्ट्रोपियन
812,raileeh,रैलीः,रेलीह,रेलीह
813,charanbaddh,चरणबद्घ,चरनबद्ध,चरनबद्ध
814,bavadee,बावडी,बावदी,बावदी
815,dishaanidesh,दिशानिदेश,दिशानिदेश,दिशानिदेश
816,todenge,तोड़ेंगे,तोडेंगे,तोडेंगे
817,fijoolkharchi,फिजूलखर्ची,फीजूलखरची,फीजूलखरची
818,doorgadh,दूर्गध,दोरगाध,दोरगाध
819,nutriyo,न्यूट्रियो,नुट्रियो,नुट्रियो
820,nimkaathana,नीमकाथाना,निम्काथना,निम्काथना
821,phaibrik,फाइब्रिक,फैब्रिक,फैब्रिक
822,anupasthitiyaan,अनुपस्थितियां,अनुपस्थितियाँ,अनुपस्थितियाँ
823,pratipaalpur,प्रतिपालपुर,प्रतिपालपुर,प्रतिपालपुर
824,sayhufar,सयहूफ़र,सायहुफार,सायहुफार
825,khalati,खलती,खालती,खालती
826,bhyaan,भ्याण,भ्यान,भ्यान
827,jewab,जेवाब,जेवाब,जेवाब
828,ladane,लडने,लादने,लादने
829,bramhasiddhi,ब्रह्मसिद्धि,ब्राह्मसिद्धि,ब्राह्मसिद्धि
830,usay,उसेे,उसाय,उसाय
831,gairjimmedarana,गैरजिम्मेदाराना,गैरिम्मेदाराना,गैरिम्मेदाराना
832,barsaai,बरसाई,बर्साई,बर्साई
833,rbipmt,आरबीआईपीएमटी,रबिम्ट,रबिम्ट
834,pathalogist,पैथेलॉजिस्ट,पथलोजिस्ट,पथलोजिस्ट
835,sansodhan,संसोधन,संसोधन,संसोधन
836,assets,ऐसेट्स,असेट्स,असेट्स
837,distributari,डिस्ट्रीब्यूटरी,दिस्ट्रিব्यूटरी,दिस्ट्रিব्यूटरी
838,bharamaa,भरमा,भरमा,भरमा
839,doobnewaale,डूबनेवाले,दूबनेवाले,दूबनेवाले
840,laengee,लाएंगी,लेंगी,लेंगी
841,grahankaal,ग्रहणकाल,ग्रहांकाल,ग्रहांकाल
842,elendtee,एलऐंडटी,इलेंडी,इलेंडी
843,namaajiyon,नमाजियों,नमाजियों,नमाजियों
844,uthni,उठनी,उठनी,उठनी
845,horamon,हॉरमोन,हॊरामोन,हॊरामोन
846,pratikara,प्रतिकारा,प्रतिकरा,प्रतिकरा
847,maitriyon,मैत्रियों,मैत्रियोन,मैत्रियोन
848,upakaaryaalayon,उपकार्यालयों,उपकार्यालयों,उपकार्यालयों
849,soochnaah,सूचनाः,सूछ्नाह,सूछ्नाह
850,preranaapuree,प्रेरणापुरी,प्रेरणापुरी,प्रेरणापुरी
851,dilaaega,दिलाएगा,दिलाएगा,दिलाएगा
852,rahyaa,रह्या,रह्या,रह्या
853,prodaktar,प्रॉडक्टर,प्रोडक्टर,प्रोडक्टर
854,veriphikeshan,वैरीफ़िकेशन,वेरिफाइकेशन,वेरिफाइकेशन
855,safaradganj,सफरदगंज,सफ़रादगँज,सफ़रादगँज
856,multiplenetary,मल्टिप्लेनेटरी,मुल्टिप्लेन्टेररी,मुल्टिप्लेन्टेररी
857,attraikt,अट्रैक्ट,अत्रैक्ट,अत्रैक्ट
858,loove,लूवे,लॉव,लॉव
859,purushbij,पुरुषबिज,पुरुष्विज,पुरुष्विज
860,vijayapuram,विजयापुरम,विजयपुरम,विजयपुरम
861,elendt,एलएंडटी,ईलेंड्ट,ईलेंड्ट
862,sitemap,साइटमैप,साइटमैप,साइटमैप
863,aajamaatee,आजमाती,आजमाती,आजमाती
864,pradhanmantriyon,प्रधानमंत्रियों,प्रधानमंत्रीयों,प्रधानमंत्रीयों
865,manwaya,मनवाया,मानवया,मानवया
866,karaahanaa,कराहना,कराहाना,कराहाना
867,sujhawah,सुझावः,सुजहावह,सुजहावह
868,chhaatar,छातर,च्छातर,च्छातर
869,dhudh,ढूढ़,धौड़,धौड़
870,subhaa,सुब्हा,सुभा,सुभा
871,kaaloniwaasiyon,कालोनीवासियों,कालोनिवासियों,कालोनिवासियों
872,intaraoparetebal,इंटरऑपरेटेबल,इंटराओपारेटबल,इंटराओपारेटबल
873,purushottamacharya,पुरूषोत्तमाचार्य,पुरुषोत्तमाचार्य,पुरुषोत्तमाचार्य
874,bheegane,भीगने,भीगने,भीगने
875,swaasthyaheenataa,स्वास्थ्यहीनता,स्वास्थ्यहीनता,स्वास्थ्यहीनता
876,kainawij,कैनविज,कैनाविज,कैनाविज
877,adhikariyan,अधिकारियां,अधिकारियान्,अधिकारियान्
878,bhrashtaachaariyon,भ्रष्टाचारीयों,भ्राष्टाचारियों,भ्राष्टाचारियों
879,wasamukt,वसामुक्त,वासमुक्त,वासमुक्त
880,mithaiyaan,मिठाइयाँ,मिथाईयान,मिथाईयान
881,chuchiyaan,चूचियां,चूचीयाँ,चूचीयाँ
882,saupengee,सौंपेंगी,सौपेन्जी,सौपेन्जी
883,muddin,मुद्दीन,मुद्दिन,मुद्दिन
884,gathajod,गठजोड,गाथाजोद,गाथाजोद
885,vishvwandhya,विश्ववंद्या,विश्ववन्ध्या,विश्ववन्ध्या
886,paryatakeey,पर्यटकीय,पर्यताकेय,पर्यताकेय
887,aiset,ऐसेट,ऐसेट,ऐसेट
888,unnatisheel,उन्नतिशील,उन्नतिशील,उन्नतिशील
889,ushati,उशती,उशती,उशती
890,zanzodhakar,झंझोड़कर,झाँझोधाकर,झाँझोधाकर
891,hztc,एचजेडटीसी,हेट्स्टी,हेट्स्टी
892,suchnaah,सूचनाः,सुछ्नाह,सुछ्नाह
893,raashtrak,राष्ट्रक,राष्ट्रक,राष्ट्रक
894,lokotsav,लोकोत्सव,लोकोत्सव,लोकोत्सव
895,cusex,क्यूसैक्स,सीयूएसएक्स,सीयूएसएक्स
896,khirbat,खिरबट,खिरबत,खिरबत
897,aswamegh,अस्वमेघ,अस्वमेघ,अस्वमेघ
898,nirdal,निर्दल,निर्दल,निर्दल
899,khudavaane,खुदवाने,खुदवाने,खुदवाने
900,aagayaa,आगया,आगाया,आगाया
901,baavat,बावत्,बावत,बावत
902,lunaa,लूणा,लूनाा,लूनाा
903,ghotaalebaajon,घोटालेबाजों,गोतालेबाजों,गोतालेबाजों
904,hulaas,हुलास,हुलास,हुलास
905,karaar,क़रार,करार,करार
906,budhaaniyaa,बुढ़ानिया,बुधनीया,बुधनीया
907,lalaaniyaa,ललानिया,लालानिया,लालानिया
908,wishwaweer,विश्ववीर,विश्वासवीर,विश्वासवीर
909,dikhaayee,दिखायेे,दिखायी,दिखायी
910,pakanevala,पकानेवाला,पाकनेवाला,पाकनेवाला
911,khachon,खचों,खाचों,खाचों
912,jeevvigyaniyon,जीवविज्ञानियों,जीवविज्ञानियों,जीवविज्ञानियों
913,pegaw,पेगव,पीगाव,पीगाव
914,gurdon,गुर्दों,गुरडन,गुरडन
915,hamidan,हामिदन,हामीदान,हामीदान
916,ahemdabadah,अहमदाबादः,अहमदाबाद,अहमदाबाद
917,prologik,प्रोलॉजिक,प्रोलोगिक,प्रोलोगिक
918,kochchih,कोच्चिः,कोच्चिह,कोच्चिह
919,dviarthi,द्विअर्थी,द्विअर्थि,द्विअर्थि
920,praatestent,प्राटेस्टेंट,प्रातिस्टेंट,प्रातिस्टेंट
921,hogis,होगिस,हॉगिस,हॉगिस
922,pratishti,प्रतिष्टि,प्रतिष्ठि,प्रतिष्ठि
923,brahmasiddhi,ब्रह्मसिद्धि,ब्रह्मसिद्धि,ब्रह्मसिद्धि
924,poorvabhadrapad,पूर्वाभाद्रपद,पूर्वभाद्रपद्,पूर्वभाद्रपद्
925,threedee,थ्रीडी,थ्रीडी,थ्रीडी
926,bhugatenge,भुगतेंगे,भुगतेंगे,भुगतेंगे
927,bestro,बेस्ट्रो,बेस्ट्रो,बेस्ट्रो
928,jaabta,जाब्ता,जाबता,जाबता
929,manokamnaen,मनोकामनाएं,मानोकमनाएं,मानोकमनाएं
930,mukhyamantrisamvaaddaata,मुख्यमंत्रीसंवाददाता,मुख्यमंत्रिसम्वादाता,मुख्यमंत्रिसम्वादाता
931,saindan,सैंदान,सैन्डन,सैन्डन
932,krutya,कृत्या,कृत्या,कृत्या
933,imaandaree,इमानदारी,इमांदारी,इमांदारी
934,surwanaa,सुर्वणा,सुरवाना,सुरवाना
935,chataa,चता,चाता,चाता
936,keeti,कीति,केती,केती
937,dibnu,डिबनू,दिब्नु,दिब्नु
938,jarooraten,ज़रूरतें,जरूरतें,जरूरतें
939,extektar,एक्सटेक्टर,एक्सटेक्टर,एक्सटेक्टर
940,khatootola,खातूटोला,खातूतोला,खातूतोला
941,poonjitantra,पूंजीतंत्र,पूंजितान्त्र,पूंजितान्त्र
942,faanon,फानों,फानोन,फानोन
943,nahinkarwaee,नहींकरवाई,नहींकरवाई,नहींकरवाई
944,gushtakhee,गुश्ताखी,गुश्तखी,गुश्तखी
945,maaikrophaaibar,माइक्रोफाइबर,माइक्रोफाइबार,माइक्रोफाइबार
946,echaar,एचआर,एचाँर,एचाँर
947,ponty,पॉन्टी,पोन्टी,पोन्टी
948,bainaama,बैनामा,बैनामा,बैनामा
949,chamchaagiri,चमचागिरी,चमचागिरी,चमचागिरी
950,installment,इन्सटॉलमेंट,इनस्टॉलमेंट,इनस्टॉलमेंट
951,dhaaritaa,धारिता,धारिता,धारिता
952,contractors,काॅन्ट्रैक्टर्स,कॉन्क्राक्टर्स,कॉन्क्राक्टर्स
953,notbandeeshuda,नोटबंदीशुदा,नोटबंदीशुदा,नोटबंदीशुदा
954,nyooroweskular,न्यूरोवेस्कुलर,न्यूरोवेसकुलार,न्यूरोवेसकुलार
955,ladadd,लदड,लादद्द,लादद्द
956,manokaamnaaon,मनोकामनाओं,मानोकामनाओं,मानोकामनाओं
957,lubhaate,लुभाते,लुभाते,लुभाते
958,roadrej,रोडरेज,रॉडरेज,रॉडरेज
959,kaloniwasiyon,कालोनीवासियों,कालोनिवासियों,कालोनिवासियों
960,veerenadaa,वीरेनदा,वीरेनडा,वीरेनडा
961,sonchane,सोंचने,सोनचने,सोनचने
962,authoritee,ऑथोरिटी,अौठराईटी,अौठराईटी
963,dange,डंगे,दाँगे,दाँगे
964,upavidesh,उपविदेश,उपविदेश,उपविदेश
965,bicchon,बिच्चों,बिच्छोन,बिच्छोन
966,vyavasthaapanaa,व्यवस्थापना,व्यवस्थापना,व्यवस्थापना
967,aaeeaarpitisi,आईआरपीटीसी,आईआईआरपीआटीआईसी,आईआईआरपीआटीआईसी
968,livaal,लिवाल,लिवाल,लिवाल
969,bidlan,बिड़लान,बिडलान,बिडलान
970,mukhyaadhyaapikaa,मुख्याध्यापिका,मुख्याध्यापिका,मुख्याध्यापिका
971,padnaa,पड़ना,पाढना,पाढना
972,selwaamani,सेल्वामणि,सेल्वामानी,सेल्वामानी
973,anaaunsar,अनाउंसर,अनाउँसर,अनाउँसर
974,dushwariyon,दुश्वारियों,दुश्वारियों,दुश्वारियों
975,sathai,साथै,साथाई,साथाई
976,ragadnaa,रगड़ना,रागद्ना,रागद्ना
977,deviliers,डीविलियर्स,देविलियर्स,देविलियर्स
978,wanvibhag,वनविभाग,वान्विभाग,वान्विभाग
979,rukwaaee,रुकवाई,रुकवाई,रुकवाई
980,soonsan,सूनसान,सोनसान,सोनसान
981,mendee,मेन्डी,मेंडी,मेंडी
982,sambandhon,संबन्धों,सम्बन्धों,सम्बन्धों
983,biologis,बायोलॉजिस्,बाइओलॉजिक्स,बाइओलॉजिक्स
984,ubala,उबाला,उबला,उबला
985,anondita,अनोंदिता,अनोन्दिता,अनोन्दिता
986,imandaari,इमानदारी,इमांदारी,इमांदारी
987,rekannecting,रिकनेक्टिंग,रेकनेक्टिंग,रेकनेक्टिंग
988,pravrittiyon,प्रवृत्तीयों,प्रवृत्तियों,प्रवृत्तियों
989,obskyoraa,ऑब्स्क्योरा,ओब्स्क्यूरा,ओब्स्क्यूरा
990,adamrakoo,एडामराकू,अड़म्रकू,अड़म्रकू
991,aafa,आफॅ,आफ़ा,आफ़ा
992,mithyaachariyon,मिथ्याचारियों,मिथ्याचरियों,मिथ्याचरियों
993,kharaabe,खराबे,खराबे,खराबे
994,rishtedaaro,रिश्तेदारो,रिश्तेदारो,रिश्तेदारो
995,jaanvaraan,जानवरान,जानवरान,जानवरान
996,raamanaamee,रामनामी,रामनामी,रामनामी
997,edukshan,एडुक्शन,एडुक्षान,एडुक्षान
998,chaunkaate,चौंकाते,चौनकाते,चौनकाते
999,bikherne,बिखेरने,बिक्हेर्ने,बिक्हेर्ने
1000,suchnah,सूचनाः,सुच्छनाह,सुच्छनाह
1001,dharmapatriyan,धर्मपत्रियां,धर्मपत्रियान,धर्मपत्रियान
1002,byaanaa,ब्याना,ब्याना,ब्याना
1003,makerere,माकेरेरे,मेकरेर,मेकरेर
1004,pravrittivigyaanon,प्रवृत्तिविज्ञानों,प्रवृत्तिविग्यानों,प्रवृत्तिविग्यानों
1005,chairiyaa,चैरिया,चैरिया,चैरिया
1006,companyyaan,कंपनीयां,कंपानीयाँ,कंपानीयाँ
1007,imaandaari,इमानदारी,इमांदुआरी,इमांदुआरी
1008,othoritee,ऑथोरिटी,ओथरीटी,ओथरीटी
1009,jaanchna,जांचना,जाँचना,जाँचना
1010,documnet,डॉक्यूमनेट,दॉक्युमेंट,दॉक्युमेंट
1011,sirtee,सिरती,"सिरी

Note: In Hindi, the word ""sirtee"" does not have a direct equivalent in the language, but it can be transliterated as ""सिरी"" which is a phonetic representation of the English word.",सिरी
1012,ritukant,ऋतुकांत,रितुकांत,रितुकांत
1013,quarantine,क्वॉरेनटाइन,क्वारांटाइन,क्वारांटाइन
1014,prabhakshetra,प्रभाक्षेत्र,प्रभाक्षेत्र,प्रभाक्षेत्र
1015,dhawakon,धावकों,धावकों,धावकों
1016,waiktriyan,वैक्ट्रियां,वैक्त्रियान्,वैक्त्रियान्
1017,rijhaayaa,रिझाया,रिज्हाया,रिज्हाया
1018,swafoto,स्वफ़ोटो,स्वाफोटो,स्वाफोटो
1019,gathbandhano,गठबंधनों,गाथबंधनो,गाथबंधनो
1020,alcohol,ऐल्कॉहॉल,अल्कोहॉल,अल्कोहॉल
1021,sikhaaega,सिखाएगा,सिखाएगा,सिखाएगा
1022,webuniyadi,वेबुनियादी,वेबुनियादी,वेबुनियादी
1023,somvaar,साेमवार,सोमवार,सोमवार
1024,threedi,थ्रीडी,त्रीडी,त्रीडी
1025,niyantaon,नियंताओं,नियंताओं,नियंताओं
1026,chhanyasa,छांयसा,च्छान्यासा,च्छान्यासा
1027,kaaryakramonko,कार्यक्रमोंको,कार्यक्रमोंको,कार्यक्रमोंको
1028,shivpaas,शिवपास,शिवपास,शिवपास
1029,taswaaron,तस्वारों,तस्वीरों,तस्वीरों
1030,koshadhikaaree,कोषाधिकारी,कोषधिकारी,कोषधिकारी
1031,badhaee,बढाई,बढ़ाई,बढ़ाई
1032,shaasanadhikariyon,शासनाधिकारियों,शासनाधिकारियों,शासनाधिकारियों
1033,ghataaegaa,घटाएगा,घाटाएगा,घाटाएगा
1034,jalapot,जलपोत,जालापोट,जालापोट
1035,pragatisheelon,प्रगतिशीलों,प्रगतिशीलों,प्रगतिशीलों
1036,khaen,खाएँ,खाएं,खाएं
1037,parivaarjan,परिवारजन,परिवारजन,परिवारजन
1038,sansmaranaatmak,संस्मरणात्मक,संस्मरणात्मक,संस्मरणात्मक
1039,kaayare,कायरे,कायारे,कायारे
1040,khhomche,खोमचे,खक़म्चे,खक़म्चे
1041,tatmoh,तत्मोह,तत्मोह,तत्मोह
1042,khatakhataaegee,खटखटाएगी,खातखाताएगी,खातखाताएगी
1043,vyaktiyon,व्यक्तीयों,व्यक्तियों,व्यक्तियों
1044,bolateen,बोलतीं,बोलातीन,बोलातीन
1045,kadmo,कदमो,काद्मो,काद्मो
1046,beeaaeeaaeeteeem,बीआईआईटीएम,बीएआईएटीएम,बीएआईएटीएम
1047,jehe,जेहे,जेहे,जेहे
1048,fadfadaen,फड़फड़ाएं,फाड़फाड़ाएन,फाड़फाड़ाएन
1049,kaathiyavadee,काठियावड़ी,काथियावडी,काथियावडी
1050,angeline,एंजेलिन,अंगेलीन,अंगेलीन
1051,utkrushtaroop,उत्कृष्टरूप,उत्कृष्टरूप,उत्कृष्टरूप
1052,rannitibanaa,रणनीतिबना,रणनितिबना,रणनितिबना
1053,mukeshvaree,मुकेश्वरी,मुकेशवरी,मुकेशवरी
1054,pratishthawale,प्रतिष्ठावाले,प्रतिष्ठावले,प्रतिष्ठावले
1055,pahunchogee,पहुंचोगी,पहुँचोगी,पहुँचोगी
1056,lalmanee,लालमणी,लालमनी,लालमनी
1057,bidlaan,बिड़लान,बिदलान,बिदलान
1058,jhankta,झांकता,झँखन्ता,झँखन्ता
1059,rikailibreshan,रिकैलीब्रेशन,रिकैलिब्रेशन,रिकैलिब्रेशन
1060,upyogitawaadiyon,उपयोगितावादियों,उपयोगितावादियों,उपयोगितावादियों
1061,choochiyan,चूचियां,चूचियान,चूचियान
1062,edogaavaa,एदोगावा,एडोगावा,एडोगावा
1063,lalmani,लालमणी,लालमानी,लालमानी
1064,techinsider,टेकइनसाइडर,टेकिनसाइडर,टेकिनसाइडर
1065,sirti,सिरती,सिर्टी,सिर्टी
1066,bada,बडा़,बड़ा,बड़ा
1067,gadi,गड़ी,गाड़ी,गाड़ी
1068,kilamnagh,किलमनघ,किलाम्नाघ,किलाम्नाघ
1069,shaantibaaee,षांतिबाई,शान्तिबाई,शान्तिबाई
1070,flaiminiyaa,फ्लैमिनिया,फ्लैमिनिया,फ्लैमिनिया
1071,khudawaane,खुदवाने,खुदवाने,खुदवाने
1072,swikritiyon,स्वीकृतियाें,स्विकृतियों,स्विकृतियों
1073,patrakaarwarta,पत्रकारवार्ता,पत्रकारवर्ता,पत्रकारवर्ता
1074,substensis,सबस्टेंसिस,सबस्टेन्सिस,सबस्टेन्सिस
1075,bavadi,बावडी,बावडी,बावडी
1076,tadanrusti,तदंरुस्ती,तादानरुस्ति,तादानरुस्ति
1077,jagadishachandra,जगदीशचंद्र,जगदीशचंद्र,जगदीशचंद्र
1078,tadpatee,तड़पती,तादपती,तादपती
1079,kharuwaar,खरुवार,खरुवार,खरुवार
1080,aantrit,आंत्रित,आन्त्रित,आन्त्रित
1081,widhamaan,विधमान,विधामान,विधामान
1082,katal,कताल,कटाल,कटाल
1083,mazakiyaa,मज़ाकिया,मज़किया,मज़किया
1084,shamtaal,शमलात,शमताल,शमताल
1085,difarard,डिफरर्ड,दिफ़ारद,दिफ़ारद
1086,liyaangshan,लियांगशन,लियाँगशन,लियाँगशन
1087,swabhawatah,स्वभावतः,स्वभावतः,स्वभावतः
1088,gudagaunw,गुडगौंव,गुदगाउँव,गुदगाउँव
1089,anyonyashritta,अन्योन्याश्रितता,अन्योन्यश्रित्ता,अन्योन्यश्रित्ता
1090,fazalon,फजलों,फ़ज़लों,फ़ज़लों
1091,paancholaas,पांचोलास,पाँचोलास,पाँचोलास
1092,ummidwaaree,उम्मीदवारी,उम्मीदवारी,उम्मीदवारी
1093,sikhaega,सिखाएगा,सिखाएगा,सिखाएगा
1094,khemik,खेमिक,क्हेमिक,क्हेमिक
1095,laffaajee,लफ्फाजी,लफ़ज़ाजी,लफ़ज़ाजी
1096,aaipief,आइपीएफ,आईपीएफ,आईपीएफ
1097,dwf,डीडब्ल्यूएफ,"द्वीफ्

(This is the transliteration of ""dwf"" in Hindi using the Devanagari script.)",द्वीफ्
1098,elbaino,एल्बाइनो,एलबैनो,एलबैनो
1099,evav,एवव,एक्सीवीएव,एक्सीवीएव
1100,rediyaans,रेडियान्स,रेडियान्स,रेडियान्स
1101,partaani,परतानी,पार्टानी,पार्टानी
1102,praarambhikataa,प्रारंभिकता,प्रारम्भिकाता,प्रारम्भिकाता
1103,fijulkharchi,फिजूलखर्ची,फिजुल्खर्ची,फिजुल्खर्ची
1104,kyusaiks,क्यूसैक्स,क्यूएसएइकएस,क्यूएसएइकएस
1105,chaunkanaa,चौंकना,चौकनाना,चौकनाना
1106,surendrapal,सुरेंद्रपाल,शुरेन्द्रपाल,शुरेन्द्रपाल
1107,utariyo,उतरियो,उतारियो,उतारियो
1108,ordanens,ऑर्डनेंस,ओर्डनेंस,ओर्डनेंस
1109,girivasiyon,गिरिवासियों,गिरिवासियों,गिरिवासियों
1110,jh,जेएच,झ्ह,झ्ह
1111,bikherane,बिखेरने,बिखेरने,बिखेरने
