eng,hin,original_response_mistral
extektar,एक्सटेक्टर,एक्सटेक्टर
khatootola,खातूटोला,खातूतोला
poonjitantra,पूंजीतंत्र,पूंजितान्त्र
faanon,फानों,फानोन
nahinkarwaee,नहींकरवाई,नहींकरवाई
gushtakhee,गुश्ताखी,गुश्तखी
maaikrophaaibar,माइक्रोफाइबर,माइक्रोफाइबार
echaar,एचआर,एचाँर
ponty,पॉन्टी,पोन्टी
bainaama,बैनामा,बैनामा
chamchaagiri,चमचागिरी,चमचागिरी
installment,इन्सटॉलमेंट,इनस्टॉलमेंट
dhaaritaa,धारिता,धारिता
contractors,काॅन्ट्रैक्टर्स,कॉन्क्राक्टर्स
notbandeeshuda,नोटबंदीशुदा,नोटबंदीशुदा
nyooroweskular,न्यूरोवेस्कुलर,न्यूरोवेसकुलार
ladadd,लदड,लादद्द
manokaamnaaon,मनोकामनाओं,मानोकामनाओं
lubhaate,लुभाते,लुभाते
roadrej,रोडरेज,रॉडरेज
kaloniwasiyon,कालोनीवासियों,कालोनिवासियों
veerenadaa,वीरेनदा,वीरेनडा
sonchane,सोंचने,सोनचने
authoritee,ऑथोरिटी,अौठराईटी
dange,डंगे,दाँगे
upavidesh,उपविदेश,उपविदेश
bicchon,बिच्चों,बिच्छोन
vyavasthaapanaa,व्यवस्थापना,व्यवस्थापना
aaeeaarpitisi,आईआरपीटीसी,आईआईआरपीआटीआईसी
livaal,लिवाल,लिवाल
bidlan,बिड़लान,बिडलान
mukhyaadhyaapikaa,मुख्याध्यापिका,मुख्याध्यापिका
padnaa,पड़ना,पाढना
selwaamani,सेल्वामणि,सेल्वामानी
anaaunsar,अनाउंसर,अनाउँसर
dushwariyon,दुश्वारियों,दुश्वारियों
sathai,साथै,साथाई
ragadnaa,रगड़ना,रागद्ना
deviliers,डीविलियर्स,देविलियर्स
wanvibhag,वनविभाग,वान्विभाग
rukwaaee,रुकवाई,रुकवाई
soonsan,सूनसान,सोनसान
mendee,मेन्डी,मेंडी
sambandhon,संबन्धों,सम्बन्धों
biologis,बायोलॉजिस्,बाइओलॉजिक्स
ubala,उबाला,उबला
anondita,अनोंदिता,अनोन्दिता
imandaari,इमानदारी,इमांदारी
rekannecting,रिकनेक्टिंग,रेकनेक्टिंग
pravrittiyon,प्रवृत्तीयों,प्रवृत्तियों
obskyoraa,ऑब्स्क्योरा,ओब्स्क्यूरा
adamrakoo,एडामराकू,अड़म्रकू
aafa,आफॅ,आफ़ा
mithyaachariyon,मिथ्याचारियों,मिथ्याचरियों
kharaabe,खराबे,खराबे
rishtedaaro,रिश्तेदारो,रिश्तेदारो
jaanvaraan,जानवरान,जानवरान
raamanaamee,रामनामी,रामनामी
edukshan,एडुक्शन,एडुक्षान
chaunkaate,चौंकाते,चौनकाते
bikherne,बिखेरने,बिक्हेर्ने
suchnah,सूचनाः,सुच्छनाह
dharmapatriyan,धर्मपत्रियां,धर्मपत्रियान
byaanaa,ब्याना,ब्याना
makerere,माकेरेरे,मेकरेर
pravrittivigyaanon,प्रवृत्तिविज्ञानों,प्रवृत्तिविग्यानों
chairiyaa,चैरिया,चैरिया
companyyaan,कंपनीयां,कंपानीयाँ
imaandaari,इमानदारी,इमांदुआरी
othoritee,ऑथोरिटी,ओथरीटी
jaanchna,जांचना,जाँचना
documnet,डॉक्यूमनेट,दॉक्युमेंट
sirtee,सिरती,"सिरी

Note: In Hindi, the word ""sirtee"" does not have a direct equivalent in the language, but it can be transliterated as ""सिरी"" which is a phonetic representation of the English word."
ritukant,ऋतुकांत,रितुकांत
quarantine,क्वॉरेनटाइन,क्वारांटाइन
prabhakshetra,प्रभाक्षेत्र,प्रभाक्षेत्र
dhawakon,धावकों,धावकों
waiktriyan,वैक्ट्रियां,वैक्त्रियान्
rijhaayaa,रिझाया,रिज्हाया
swafoto,स्वफ़ोटो,स्वाफोटो
gathbandhano,गठबंधनों,गाथबंधनो
alcohol,ऐल्कॉहॉल,अल्कोहॉल
sikhaaega,सिखाएगा,सिखाएगा
webuniyadi,वेबुनियादी,वेबुनियादी
somvaar,साेमवार,सोमवार
threedi,थ्रीडी,त्रीडी
niyantaon,नियंताओं,नियंताओं
chhanyasa,छांयसा,च्छान्यासा
kaaryakramonko,कार्यक्रमोंको,कार्यक्रमोंको
shivpaas,शिवपास,शिवपास
taswaaron,तस्वारों,तस्वीरों
koshadhikaaree,कोषाधिकारी,कोषधिकारी
badhaee,बढाई,बढ़ाई
shaasanadhikariyon,शासनाधिकारियों,शासनाधिकारियों
ghataaegaa,घटाएगा,घाटाएगा
jalapot,जलपोत,जालापोट
pragatisheelon,प्रगतिशीलों,प्रगतिशीलों
khaen,खाएँ,खाएं
parivaarjan,परिवारजन,परिवारजन
sansmaranaatmak,संस्मरणात्मक,संस्मरणात्मक
kaayare,कायरे,कायारे
khhomche,खोमचे,खक़म्चे
tatmoh,तत्मोह,तत्मोह
khatakhataaegee,खटखटाएगी,खातखाताएगी
vyaktiyon,व्यक्तीयों,व्यक्तियों
bolateen,बोलतीं,बोलातीन
kadmo,कदमो,काद्मो
beeaaeeaaeeteeem,बीआईआईटीएम,बीएआईएटीएम
jehe,जेहे,जेहे
fadfadaen,फड़फड़ाएं,फाड़फाड़ाएन
kaathiyavadee,काठियावड़ी,काथियावडी
angeline,एंजेलिन,अंगेलीन
utkrushtaroop,उत्कृष्टरूप,उत्कृष्टरूप
rannitibanaa,रणनीतिबना,रणनितिबना
mukeshvaree,मुकेश्वरी,मुकेशवरी
pratishthawale,प्रतिष्ठावाले,प्रतिष्ठावले
pahunchogee,पहुंचोगी,पहुँचोगी
lalmanee,लालमणी,लालमनी
bidlaan,बिड़लान,बिदलान
jhankta,झांकता,झँखन्ता
rikailibreshan,रिकैलीब्रेशन,रिकैलिब्रेशन
upyogitawaadiyon,उपयोगितावादियों,उपयोगितावादियों
choochiyan,चूचियां,चूचियान
edogaavaa,एदोगावा,एडोगावा
lalmani,लालमणी,लालमानी
techinsider,टेकइनसाइडर,टेकिनसाइडर
sirti,सिरती,सिर्टी
bada,बडा़,बड़ा
gadi,गड़ी,गाड़ी
kilamnagh,किलमनघ,किलाम्नाघ
shaantibaaee,षांतिबाई,शान्तिबाई
flaiminiyaa,फ्लैमिनिया,फ्लैमिनिया
khudawaane,खुदवाने,खुदवाने
swikritiyon,स्वीकृतियाें,स्विकृतियों
patrakaarwarta,पत्रकारवार्ता,पत्रकारवर्ता
substensis,सबस्टेंसिस,सबस्टेन्सिस
bavadi,बावडी,बावडी
tadanrusti,तदंरुस्ती,तादानरुस्ति
jagadishachandra,जगदीशचंद्र,जगदीशचंद्र
tadpatee,तड़पती,तादपती
kharuwaar,खरुवार,खरुवार
aantrit,आंत्रित,आन्त्रित
widhamaan,विधमान,विधामान
katal,कताल,कटाल
mazakiyaa,मज़ाकिया,मज़किया
shamtaal,शमलात,शमताल
difarard,डिफरर्ड,दिफ़ारद
liyaangshan,लियांगशन,लियाँगशन
swabhawatah,स्वभावतः,स्वभावतः
gudagaunw,गुडगौंव,गुदगाउँव
anyonyashritta,अन्योन्याश्रितता,अन्योन्यश्रित्ता
fazalon,फजलों,फ़ज़लों
paancholaas,पांचोलास,पाँचोलास
ummidwaaree,उम्मीदवारी,उम्मीदवारी
sikhaega,सिखाएगा,सिखाएगा
khemik,खेमिक,क्हेमिक
laffaajee,लफ्फाजी,लफ़ज़ाजी
aaipief,आइपीएफ,आईपीएफ
dwf,डीडब्ल्यूएफ,"द्वीफ्

(This is the transliteration of ""dwf"" in Hindi using the Devanagari script.)"
elbaino,एल्बाइनो,एलबैनो
evav,एवव,एक्सीवीएव
rediyaans,रेडियान्स,रेडियान्स
partaani,परतानी,पार्टानी
praarambhikataa,प्रारंभिकता,प्रारम्भिकाता
fijulkharchi,फिजूलखर्ची,फिजुल्खर्ची
kyusaiks,क्यूसैक्स,क्यूएसएइकएस
chaunkanaa,चौंकना,चौकनाना
surendrapal,सुरेंद्रपाल,शुरेन्द्रपाल
utariyo,उतरियो,उतारियो
ordanens,ऑर्डनेंस,ओर्डनेंस
girivasiyon,गिरिवासियों,गिरिवासियों
jh,जेएच,झ्ह
bikherane,बिखेरने,बिखेरने
poorvapekshaon,पूर्वापेक्षाओं,पूर्वपेक्षाओं
grishmotsav,ग्रीष्मोत्सव,गृष्मोत्सव
shikayatkartaa,शिकायतकर्ता,शिकायतकर्ता
kaloneewasiyon,कालोनीवासियों,कालोनेवासियों
kaloniwaasiyon,कालोनीवासियों,कॅलोनिवासियों
sukadiyaal,सुकडि़याल,सुकदियाल
nihshulk,निःशुल्क,निशुल्क
saatseraa,सातसेरा,सातसेरा
khyaatinaam,ख्यातिनाम,ख्यातिनाम
endablyusee,एनडब्ल्यूसी,एनडेबलीयूएसी
rukwaakar,रुकवाकर,रुकवाकर
inakshetron,इनक्षेत्रों,इनाक्षेत्रों
kshatriyadi,क्षत्रियादि,क्षत्रियादि
pansariyaa,पंसरिया,पानसरिया
sanyojakon,संयोजकों,सन्योजकों
jyadatiyon,ज्यादातियों,ज्यादतियों
wipannata,विपन्नता,विपन्नाता
uddhaatan,उद्धाटन,उद्धातन
rajyamantreeswatantra,राज्यमंत्रीस्वतंत्र,राज्यमन्त्रीस्वतन्त्र
vishvaas,विष्वास,विश्वास
sidusing,सिडयूसिंग,सिदूसिंग
thees,ठीस,थीस
shreesookt,श्रीसूक्त,श्रीसूक्त
anyonyashritata,अन्योन्याश्रितता,अन्योन्यश्रितता
bhaloo,भाालू,भालू
syrae,सीरए,सीयरे
anvaharya,अन्वाहार्य,अन्वहार्य
ubhrega,उभरेगा,उभ्रेगा
jhilaadhyaksh,ज़िलाध्यक्ष,जहीलाध्यक्ष
nwc,एनडब्ल्यूसी,नीसीवीसी
ghumaee,घुमाई,घुमाई
officery,ऑफिसरी,ऑफिसरी
neurovascular,न्यूरोवेस्कुलर,नियूरोवासकुल
panjikaa,पंजिका,पञ्जीका
khullamkhulla,खुल्लमखुल्ला,खुल्लमखुल्ला
gujarenge,गुजारेंगे,गुजारेंगे
zaalaanaa,झालाना,ज़ालाना
ovarol,ओवरऑल,ओवारोल
zilaadhikaaree,ज़िलाधिकारी,ज़िलाधिकारी
rekord,रिकाॅर्ड,रीकॉर्ड
gadee,गड़ी,गाडी
mwpl,एमडब्ल्यूपीएल,म्व्प्ल
sayhuphar,सयहूफ़र,सायुफार
ummidwaari,उम्मीदवारी,उम्मीदवारी
upyogitavaadiyon,उपयोगितावादियों,उपयोगितावादियों
phiraayaa,फिराया,फिराया
wiwes,विवेस,वीवीएसएस
hatyaropit,हत्यारोपित,हत्यारोपित
shreeganganagarwaasiyon,श्रीगंगानगरवासियों,श्रीगंगानगरवासियों
chutile,चुटीले,चुटिले
aaropmukta,आरोपमुक्त,आरोपमुक्ता
manavtarhit,मानवटरहित,मानवतर्हित
apnayega,अपनाएगा,अपनाएगा
gaandchubhonachoosnachhote,गांडचुभोनाचूसनाछोटे,गांधचुभोनाचूसनाच्छोटे
vavidyaalaya,वविद्यालय,विविद्यालय
naeekhe,नईखे,नाएक्हे
kabze,कब्ज़े,काब्जे
phadphadaen,फड़फड़ाएं,फडफडाएं
nindneey,निंदनीय,निन्दनीय
gyonth,ग्योंठ,ग्योंथ
azoospermia,एजूस्पर्मिया,अज़ूओस्पर्मिया
aankhen,ऑंखें,आँखेन
paaliyon,पालियों,पालियों
anukooltaaen,अनुकूलताएं,अनुकूलताएँ
gopaalak,गोपालक,गोपालक
shabdaayamaan,शब्दायमान,शब्दायामान
wimukhataa,विमुखता,विमुखता
jadoole,जडूले,जादूले
tolaasan,तोलासन,तोलासन
nyayalayeen,न्यायालयीन,न्यायालयीन
sanvari,संवरी,सनवरी
pradeshikaa,प्रदेशिका,प्रदेशिका
lakshayatirth,लक्ष्यतीर्थ,लक्ष्यातीर्थ
rohataa,रोहटा,रोहताा
ragadana,रगड़ना,रागदाना
aamariyapadha,आमरियापाड़ा,आमारियपाधा
bhavabhivyaktiyon,भावाभिव्यक्तियों,भवभिव्यक्तियों
bagalon,बगलों,बागलोन
prastawaas,प्रस्तावास,प्रस्तावास
chandras,चन्द्रस,चन्द्रस
viraatkhand,विराटखंड,वीरातखण्ड
contrasting,कॉन्ट्रेस्टिंग,कॉन्त्रास्टिंग
poorwajanmon,पूर्वजन्मों,पूर्वजन्मों
nahinkarvaaee,नहींकरवाई,नहींकरवाई
maum,मौम,मौम
patotsava,पाटोत्सव,पटोत्सव
sewad,सेवड,सेवाद
baagbagichon,बागबगीचों,बागबागिचों
ajasra,अजस्र,आजस्रा
kumaarendra,कुमारेन्द्र,कुमारेन्द्र
mithyachariyon,मिथ्याचारियों,मिथ्याचरियों
faadee,फाड़ी,ਫਾਦੀ
shavyatra,शवयात्रा,शवयात्रा
niptakar,निपटाकर,निप्तकर
sunsaan,सूनसान,सुनसान
yojnaah,योजनाः,योज्ञाह
sirati,सिरती,सिरती
jajbaat,जज्बात,जजबात
medalmyoon,मेडलम्यून,मेडलम्यून
tasvaron,तस्वारों,तास्वरों
mukarrar,मुक़र्रर,मुकरर
kalonivasiyon,कालोनीवासियों,कालोनिवासियों
khareedin,खरीदीं,खरेदिन
klictivism,क्लिक्टिविज्म,क्लिक्टिविज़म
pariwaarjan,परिवारजन,परिवारजन
purushonmukh,पुरुषोन्मुख,पुरुषोन्मुख
jyadaa,ज़्यादा,ज्यादा
bataur,बताैर,बातौर
shreeganganagarwasiyon,श्रीगंगानगरवासियों,श्रीगंगानगरवासीयों
anumaar,अनुमार,अनुमार
vyavasthavirodhee,व्यवस्थाविरोधी,व्यवस्थाविरोधी
nihsandeh,निःसंदेह,निहसन्देह
thokakar,ठाेककर,ठोकाकर
aavrajak,आव्रजक,आवराजक
svaadpremiyon,स्वादप्रेमियों,स्वाद्प्रेमियों
dumghontoo,दमघोंटू,दुमघन्तू
gayaayh,गयाय़,गायाह
newtest,न्यूटेस्ट,न्यूटेस्ट
teemaardaron,तीमारदारों,तीमारडारोन
taimpan,टैम्पान,तैम्पान
ukhad,उखड,उख़ध
twitters,ट्विटर्स,ट्विटर्स
zabardast,ज़बर्दस्त,ज़बर्दस्त
jakhmiyon,जख्मियों,जख्मियों
automobile,आॅटोमोबाईल,अटूमोबाइल
bangrawaala,बंगरावाला,बांग्रावाला
vadaraa,वदरा,वदारा
arthshaastriyon,अर्थशास्त्रीयों,अर्थशास्त्रियों
kissagoee,किस्सागोई,किस्सागोई
nivedanah,निवेदनः,निवेदनाह
kaaraboriyon,काराबोरियों,काराबोरियों
khagyaar,खग्यार,खाग्यार
bramhaand,ब्रह्माण्ड़,ब्रह्माण्ड
fall,फॅाल,फॉल्ल
nipataaye,निपटाये,निपाताये
prabhanmantri,प्रभानमंत्री,प्रभान्मन्त्री
jeetnewalon,जीतनेवालों,जीतनेवालों
aainthoo,आइंथू,आइंथू
jeevati,जीवति,जीवती
svaayattshasan,स्वायत्तशासन,स्वायत्तशाशन
koottaa,कूत्ता,कूटा
sarvjaateeya,सर्वजातीय,सर्वजातीया
raashtrabhakton,राष्ट्रभक्तों,राष्ट्रभक्तों
itibhagvati,इतिभगवती,इतिभग्वती
distributaree,डिस्ट्रीब्यूटरी,दिस्ट्रिब्यूटरी
jawan,जवन,जवान
khaatedar,खातेदार,खातेदार
wipkha,विप्ख,विप्खा
closeup,क्लोज़अप,क्लॉज़अप
daraatee,डराती,दाराती
jeewati,जीवति,जीवती
sthaanikikaran,स्थानिकीकरण,स्थानिकिकरण
pityooniya,पिट्यूनिया,पिट्यूनीया
mohindrapaal,मोहिन्द्रपाल,मोहिन्द्रपाल
raajbhaaee,राजभाई,राजभाए
somwar,साेमवार,सोमवार
sahityapremiyon,साहित्यप्रेमियों,सहित्यप्रेमियों
stimberwala,स्टिम्बेरवाला,स्टिम्बरवाला
pahunchni,पहुंचनी,पहुँच्नी
kapoot,कपूत,कपूत
avyavasaayee,अव्यवसायी,अव्यवसायी
aidiled,ऐडिलेड,एयडाइलेड
gaalegalouj,गालीगलौज,गालेगालोज़
verger,वर्गर,वेर्जर
laansanaayak,लांसनायक,लांसनायक
madhyakshetreeya,मध्यक्षेत्रीय,मध्यक्षेत्रेय
simferopol,सिम्फरपोल,सिमफेरोपोल
waiktriyaan,वैक्ट्रियां,वैक्त्रियाँ
ghatanaaain,घटनाऐं,घटनाओं
taaveej,तावीज,तावीज़
purooshottamaachary,पुरूषोत्तमाचार्य,पुरूषोत्तमाचार्य
khagyar,खग्यार,खाग्यर
tenlet,टेंलेट,टेनलेट
aaboorod,आबूरोड,आबूरोद
melaadhikaaree,मेलाधिकारी,मेलाधिकारी
kishun,किशुन,किशुं
purnsweekrit,पुर्नस्वीकृत,पूर्णस्वीकृत
aamriyapada,आमरियापाड़ा,आमRIयपादा
obscura,ऑब्स्क्योरा,ऑब्सकुरा
foolatee,फूलती,फूलाटी
guttham,गुत्थम,गुठ्ठम्
ummeede,उम्मीदे,उम्मेदे
prekshakganon,प्रेक्षकगणों,प्रेक्षकगणन
viraktiyon,विरक्तियों,विराक्तियों
parivarwale,परिवारवाले,परिवारवाले
chharharee,छरहरी,च्छर्हरे
balurak,बलुरक,बालुरक्
utsavadharmitaa,उत्सवधर्मिता,उत्सवधर्मिता
niswaarth,निस्वार्थ,निस्वार्थ
ahemdaabadah,अहमदाबादः,अहेमदाबाद
pahunchani,पहुंचनी,पहुँचनी
wisangatiya,विसंगतिया,विसांगतिया
audience,ऑडिएंस,ऑडियंस
antahkshetron,अंतःक्षेत्रों,अन्तःखेत्रों
narakas,नराकास,नारकास
bhijwaai,भिजवाई,भिजवाई
ki,क़ि,की
anamanaate,अनमनाते,अनमानाते
rashtra,राष्ट्रा,राष्ट्र
dayasindhu,दयासिंधु,दयासिन्धु
prakriyaagat,प्रक्रियागत,प्रकृियागत
adchane,अड़चने,अद्छने
natedar,नातेदार,नाटेदार
sevamukt,सेवामुक्त,सेवामुक्त
aalto,ऑल्टो,आल्टो
nalakasa,नलकसा,नालकासा
oxys,ऑक्सीज,ओक्सीएस
flavonoids,फ्लेवनाइड्स,फ्लावोनोइड्स
anklekar,अंकलेकर,अंकलकर
swabhaawatah,स्वभावतः,स्वभावतः
vrishchikahsaptaah,वृश्चिकःसप्ताह,वृष्चिकहस्पताह
gamay,गमे,गामाय
pratyaakshiyon,प्रत्याक्षियों,प्रत्याक्षियों
braandes,ब्रान्डेस,ब्रांडेस
gagantok,गगंटोक,गगनतोक
rasme,रस्मे,रासमे
orijnal,ऑरिजनल,ओरिजिनल
chhedna,छेड़ना,च्छेद्ना
respecting,रिस्पेक्टिंग,रिस्पेक्टिंग
banavaaegee,बनवाएगी,बनावाएगी
taijee,ताईजी,ताइजी
workcharge,वर्कचार्ज,"वर्कचार्ज

For future reference, here is a list of common English words and their transliterations in Hindi (Devanagari script):

1. apple - अप्पल
2. banana - बनाना
3. car - कार
4. cat - कैट
5. dog - डॉग
6. elephant - हाथी
7. fish - मृगल
8. goat - बकर
9. house"
hikarico,हिकारिको,हिकारिको
yaunikta,यौनिकता,यॉनिक्ता
seriv,सेरिव,सेरिव
properfacebook,प्रॉपरफेसबुक,प्रोपरफेसबुक
punarwigyaapan,पुनर्विज्ञापन,पुनरविग्यापन
nyaayalayin,न्यायालयीन,न्यायालयिन्
zalana,झालाना,ज़ालाना
chhodiye,छोडिये,छोड़िए
poorneshvari,पूर्णेश्वरी,पूर्णेश्वरी
parivarjan,परिवारजन,परिवारजन
javate,जावते,जावते
indaurnagar,इंदौरनगर,इंदाक़ुरनगर
phalluja,फ़ल्लूजा,फाल्लूजा
officially,ऑफिशियली,ऑफिशियल्ली
trelarah,ट्रेलरः,त्रेलाराह
yaatraen,यात्राएँ,यात्राएँ
siratee,सिरती,सिराती
pashuchaaraa,पशुचारा,पशुचारा
mistriyan,मिस्त्रियां,मिस्त्रियान
distributary,ड्रिस्ट्रीब्यूट्री,दिस्ट्रिब्यूटरी
phaade,फाड़े,फादे
bolatin,बोलतीं,बोलातिन
vyavasthaamoolak,व्यवस्थामूलक,व्यवस्थामूलक
vanvibhaag,वनविभाग,वानविभाग
koshisho,कोशिशो,कोशिशो
objerver,ऑब्जर्वर,ओब्जेक्टिवर
dharmapoorwee,धर्मपूर्वी,धर्मापूर्वी
sainkadon,सैंकडों,सैन्कडोन
falluja,फ़ल्लूजा,फालूजा
galatfahmee,ग़लतफ़हमी,गालतफ़हमी
vidyaathyon,विद्याथयों,विद्याथ्यों
raelaa,रएला,रेला
galoondiya,गलूंडिया,गालोंदिया
hichkicha,हिचकिचा,हिच्छिचा
verification,वैरीफ़िकेशन,वरिफिकेशन
jhaohuee,झाओहुई,झाओहूई
sambhalataa,संभलता,साम्भलता
shanichar,शनिचर,शनिचार
medalmyun,मेडलम्यून,मेडलम्यून
tiltrotor,टिल्टरोटर,तिल्टरोटर
bhatkaana,भटकाना,भतकाना
tadapati,तड़पती,तादापति
warshiya,वर्षिय,वर्षिया
ghumaai,घुमाई,घुमाई
linmarg,लिंमर्ग,लिनमार्ग
beetaane,बीताने,बीताने
daphtaron,दफ़्तरों,दाफ्तारओन
athoritee,अथाॅरिटी,अथराइटी
nibhaaegee,निभाएगी,निभाएगी
cws,सीडब्ल्यूएस,सीडीवीएस
pratirakshee,प्रतिरक्षी,प्रतिरक्षी
svadpremiyon,स्वादप्रेमियों,स्वद्प्रेमियों
taswaron,तस्वारों,तासवारों
biolozis,बायोलॉजिस्,बाइओलॉजिस
vishay,विषयः,विषाय
mantreepad,मंत्रीपद,मन्त्रेपाद
antarraajyeekaran,अंतरराज्यीकरण,अन्तरराज्येकरण
independet,इंडिपेन्डेट,इन्डेपेंडेंट
intaratekchualitee,इंटरटेक्चुअलिटी,इंटराटेकचुअलिटी
continue,कंटिन्यू,कॉन्टिनू
dhairyapoorn,धैर्यपूर्ण,धैर्यपूर्ण
shreeganganagarvaasiyon,श्रीगंगानगरवासियों,श्रीगंगानगर्वासियों
angel,ऐंजल,अंगेल
aagbabolaa,आगबबूला,आगबाबोला
electrodynamics,इलेक्ट्रोडायनेमिक्स,इलेक्ट्रोदिनामिक
phaadanhe,फाडऩे,फादन्हे
jyaada,ज़यादा,ज्यादा
baantin,बांटीं,बान्तिन
garibon,ग़रीबों,गरीबों
buddharam,बुद्धाराम,बुध्धराम
sailaneepan,सैलानीपन,सैलानीपान
pravritteeyon,प्रवृत्तीयों,प्रवृत्तियों
badhana,बढना,बढ़ना
cronfrencing,क्रान्फ्रेंसिंग,क्रॉन्फ्रेन्सिंग
stroto,स्त्रोतो,स्ट्रोटो
prasaarakon,प्रसारकों,प्रसारकों
faaeebrets,फ़ाईब्रेट्स,फाएब्रेट्स
kileshwaree,किलेश्वरी,किलेश्वरी
panhuchi,पंहुची,पाँहुछी
niraalaakrut,निरालाकृत,निरालाकृत
anubhavvadiyon,अनुभववादियों,अनुभववादियों
ekataabaddh,एकताबद्ध,एकताबद्ध
antayant,अन्त्यन्त,अन्तयन्त
pratishthaavaale,प्रतिष्ठावाले,प्रतिष्ठावाले
dhahlak,ढहलक,धहलक
tourbiliyan,टूरबिलियन,तौरबिलियान
murgipalan,मुर्गीपालन,मुर्गीपलान
nibhaegee,निभाएगी,निभाएगी
lagnesh,लग्नेश,लाग्नेश
poorvottar,पूर्वाेत्तर,पूर्वोत्तर
dinah,दिनः,दिनाह
dablyoopeedee,डब्ल्यूपीडी,दाब्ल्यूपीडी
baabaao,बाबाओ,बाबाओ
preranapuree,प्रेरणापुरी,प्रेरणपुरी
kaamanaaen,कामानाएं,कामानाएँ
wadara,वदरा,वादरा
jangan,जनगन,जानगन
kurami,कुरमी,कुरामी
saboodaane,साबूदाने,सबूदाने
registes,रेजिस्टेस,रेजिस्टेस्ट्स
hairaanijanak,हैरानीजनक,हैरानिजनक
madanaganja,मदनगंज,मदनगञ्जा
expectancy,एक्स्पेक्टेंसी,एक्सपेक्टेंसि
irptc,आईआरपीटीसी,इएरपट्सी
sajis,साजिस,सजिस
dodavasiyon,डोडावासियों,दोदवासियों
trailerh,ट्रेलरः,त्रेलरह
aitraz,ऐतराज़,ऐटरज़
paimaaish,पैमाइश,पैमाईश
tikalaratne,तिकलरत्ने,तिकलारत्ने
bataaya,बाताया,बताया
shikshanusar,शिक्षानुसार,शिक्षानुसर
thakke,थक्के,ठक्के
svarnika,स्वर्णिका,स्वर्णिका
feesad,फ़ीसद,फीएसएड
taiji,ताईजी,ताइजी
manch,मञ्च,मांच
rojanaa,रोजना,"रोजना

I'm a bit of a language enthusiast and I love to help! Let me know if you have any other questions or if there's anything else I can assist you with. 😊"
itibhagvatee,इतिभगवती,इतिभग्वती
siddhaant,सिद्घांत,सिद्धान्त
shikshakaarmiyon,शिक्षाकार्मियों,शिक्षाकार्यों
buddharaam,बुद्धाराम,बुद्धराम
bronch,ब्रॉन्च,ब्रॉन्च
deshseva,देशसेवा,देशसेवा
pathbhrasht,पथभ्रष्ट,पथभ्रष्ट
shavyatraa,शवयात्रा,शवयात्रा
mukhyamantripatana,मुख्यमंत्रीपटना,मुख्यमंत्रीपतन
qaraar,क़रार,क़रार
khangaali,खंगाली,खाँगाली
veeraangnaaon,वीरांगनाओं,वीराङ्गणाओं
phaans,फाँस,फांस
lohaaty,लोहाती,लोहाती
aabstretiks,आब्स्ट्रेटिक्स,आऐब्स्ट्रेटिक्स
vipannta,विपन्नता,विपन्नता
aparihaaryataa,अपरिहार्यता,अपरिहार्यता
kaistemaal,कैस्तेमाल,कैस्टेमाल
phirojaabaadah,फिरोजाबादः,फिरोजाबादाह
taatkaleen,तात्कालीन,तातकालीन
properfacebuk,प्रॉपरफेसबुक,प्रोपरफेसबुक
svayam,स्वयँ,स्वयम
daishwala,डैशवाला,दैश्वाला
rahugaan,रहुगाँ,राहुगान
rasasindoor,रससिन्दूर,रासासिन्दूर
karab,करब,कराब
kopalen,कोपलें,कोपालेन
garmaaee,गर्माई,गर्माई
suchana,सुचना,सुचना
smruttiyon,स्मृत्तियों,स्मृतियों
allout,ऑलआउट,अलॉउट
aaiaarpitisi,आईआरपीटीसी,आयारपितिसी
uthnee,उठनी,उठनी
yaddasht,याद्दाश्त,याददश्त
ramjilaal,रामजीलाल,रामजीलाल
bheegne,भीगने,भीगने
amu,एएमयु,अमू
lalkrishna,लालकृष्ण,लालकृष्ण
shaamkareeb,शामकरीब,शामकरीब
sajeti,सजेती,साजेती
madanganja,मदनगंज,मदंगञ्जा
radneetikaaron,रणनीतिकारों,रादनेतिकारों
lakshmeechandra,लक्ष्मीचन्द्र,लक्ष्मीचन्द्र
chhooen,छूएं,च्होओएन
laphphajee,लफ्फाजी,लाफ्फाजी
anupasthitiyan,अनुपस्थितियां,अनुपस्थितियान
bamleshwaree,बम्लेश्वरी,बामलेशवरी
gairajimmedaaree,गैरजिम्मेदारी,गैरजिम्मेदारी
liyopam,लियोपाम,लियोपाम
dablyooechel,डब्ल्यूएचएल,दाबल्यूएचेल
damapar,दमपर,दामपर
khaatootola,खातूटोला,खातूतोला
kaksheevati,काक्षीवती,कक्षीवती
bhijvaai,भिजवाई,भिजवाई
ghrutkumaree,घृतकुमारी,घृतकुमारी
chaita,चैता,चैता
prawrittiyon,प्रवृत्तीयों,प्रवृत्तियों
kirne,किरणे,किर्णे
ghiraniyaa,घिरणियॉ,घिरनीया
antardasha,अंतर्दशा,अंतरदशा
dharmanirpekshatake,धर्मनिरपेक्षताके,धर्मनिर्पेक्षतके
badhanaa,बढना,बढ़ना
nikharegaa,निखरेगा,निखरेगाा
poorvaabhaadrapad,पूर्वाभाद्रपद,पूर्वाभाद्रपद्
gruhiniyaan,गृहिणियां,गृहिणियाँ
eyarkandishnar,एयरकंडीशनर,एयारकांडिश्नार
furaame,फुरामे,फुरामे
raajsthanvasiyon,राजस्थानवासियों,राजस्थानवासियों
