picot,पिकॉट
bardwara,बरद्वारा
jagahatha,जगहथा
kaumanavelthava,कौमनवेल्थवा
coomera,कोमेरा
majjak,मज्जक
brishchiki,बृश्चिकी
chukade,चुकड़े
royston,राएस्टन
purnaprakash,पूर्णप्रकाश
industriyil,इंडस्ट्रियिल
lackshork,लैकशार्क
faradi,फरादी
vaatparaagit,वातपरागित
mauzuaat,मौज़ुआत
muthamittal,मुथामित्तल
spoofs,स्पूफ्स
bhimshankaram,भीमशंकरम्
comlementary,कॉम्लीमेंट्री
nuktan,नुक्तान
shiddi,शिद्दी
khafila,खाफिला
lakadhare,लकड़हारे
mohiniyattom,मोहिनीयट्टम
noonheda,नूनहेड़ा
vajraswamy,वज्रस्वामी
reggio,रेजियो
yatrekaruncha,यात्रेकरूंचा
devprasth,देवप्रस्थ
apanedanta,अपनेदांत
murshad,मुरशाद
reuters,रायटर्ज़
dunham,डनहैम
bastille,बैस्टिल
daivvaad,दैववाद
vijayadadancha,विजयदादांचा
pushpadanti,पुष्पदन्ती
placex,प्लेसेक्स
reichmuth,रेचमुथ
tiloo,तीलू
kramankachya,क्रमांकाच्या
meshwo,मेश्वो
thoyas,थोयस
baalinge,बालिंगे
grihatyagi,गृहत्यागी
sundardas,सुन्दरदास
agantuj,आगन्तुज
naragund,नरगुण्ड
nissantan,निस्संतान
ugharane,उघरने
punkhanupunkh,पुंखानुपुंख
deblina,देब्लिना
veshyavrit,वेश्यावृत
bhiriya,भिरिया
inp,आईएनपी
rikshaansah,रिक्षांसह
sadoke,सदोके
malap,मलप
hadas,हदस
ashtasiddhi,अष्टसिद्धि
muskatdaabivirodhaat,मुस्कटदाबीविरोधात
seatsna,सीट्सना
biden,बिडेन
nivaasgrih,निवासगृह
takrarivishayi,तक्रारीविषयी
marathabhavan,मराठाभवन
tudeme,ट्यूडेमे
pandusar,पांडूसर
paanchaveen,पांचवीं
outrose,आउटरोज
bmh,बीएमएच
refraction,रीफ्रेक्शन
smartlife,स्मार्टलाइफ
santanchich,संतांचीच
jethare,जेठरे
chalabiev,चालाबिएव
kagme,काग्मे
behakne,बहकने
annadurai,अन्नदुरई
dasurkar,दसूरकर
ishamsih,ईशामसीह
haloelken,हैलोएल्केन
mehndiratta,मेंहदीरत्ता
grack,ग्रैक
innogration,इनोग्रेशन
dhindsa,ढिंडसा
samudralok,समुद्रलोक
asterics,एस्टेरिक्स
griefen,ग्रीफन
swapaksheeya,स्वपक्षीय
elektronik,इलैक्ट्रानिक
arthsankalpavar,अर्थसंकल्पावर
nishaniyaan,निशानियाँ
mujwat,मुजवत
aadmaargaavar,आडमार्गावर
snehsindhu,स्नेहसिंधु
technocruz,टेक्नोक्रूज़
katnigit,कटनीगीत
pohap,पोहप
helmetsathi,हेल्मेटसाठी
unchamandi,ऊंचामंडी
chheden,छेदें
ashraydata,आश्रयदाता
nanakdev,नानकदेव
refrigerating,रेफ्रिजरेटिंग
lautan,लोटन
likhavakar,लिखावाकर
millsfield,मिल्सफील्ड
baratanwala,बरतनवाला
methylene,मेथीलीन
continuous,कंटिन्युअस
trilateration,ट्रायलेटरेशन
bilaaramau,बिलारमऊ
jahangirabad,जहांगीराबाद
rivkar,रिवकर
manyavaronne,मान्यवरोंने
darkhasana,दरखासन
advajri,अडवाजरी
kesava,केसव
chandbabu,चंदबाबू
saurit,सौरित
vyaparkshetra,व्यापारक्षेत्र
madhumehiyon,मधुमेहियों
yonne,योने
cartson,कार्टसन
sakreli,सकरेली
kachpura,काचपुरा
rabanera,रबानेरा
shwetdweep,श्वेतद्वीप
ambedkarke,अंबेडकरके
backgroung,बैकग्राउंग
cycogenic,साइकोजेनिक
bichhaayenge,बिछाएँगे
bithur,बिठुर
tyaksh,त्यक्ष
deodhi,ड्योढ़ी
alawalpuria,अलावलपुरिया
chaantare,चांतरे
imrati,इमराती
pection,पेक्शन
casamance,काज़ामान्स
sangeetmaya,संगीतमय
lingampally,लिंगमपल्ली
shulbasutra,शुल्बसूत्र
korol,कोरोल
bhojkat,भोजकट
indrakumari,इंद्रकुमारी
kingsal,किंग्सल
senorita,सेनोरिता
jinsundersurishwarji,जिनसुन्दरसूरीश्वरजी
antarkaal,अन्तरकाल
ekaatari,एकातरी
godzilla,गॉडजिला
limelime,लाइमलाइम
sukarwar,सुकरवार
toofaani,तूफानी
anarbala,अनारबाला
turbinator,टर्बीनेटर
cihm,सीआईएचएम
shaayakiya,शायकीय
chhaprarghat,छपरारघाट
khubru,खुबरु
litaye,लिटाये
triphasic,ट्राईफेसिक
oxiana,ओक्सियाना
sarkaana,सरकाना
baladia,बलादिया
raghuraj,रघुराज
radhadevi,राधादेवी
parvatvaasiyon,पर्वतवासियों
cdfi,सीडीएफआई
gurabaksasinh,गुरबक्ससिंह
parangipettai,परांगीपेट्टई
janvitt,जनवित्त
nilackal,निलक्कल
gandzasar,गंद्जासर
khanani,खनानी
sangol,संगोल
binaayaga,बिनायगा
hhl,एचएचएल
khujestan,खुजेस्तान
foakes,फ़ॉक्स
tauful,तौफुल
doctorsche,डॉक्टर्सचे
gillmeister,गिलमेस्टर
kalikund,कलिकुंड
prashrottar,प्रश्रोत्तर
mahanandisvara,महानंदीश्वर
ramrajsinh,रामराजसिंह
stantra,स्तंत्र
madhyaahnavyaapini,मध्याह्नव्यापिनी
avyashkta,अव्यश्कता
davagni,दावाग्नी
yatnapurvaka,यत्नपूर्वक
anthela,एंथेला
alganewala,अलगानेवाला
shamaliya,श्यामलिया
juland,जुलैंड
sinusoidale,साइनुसाइडल
girafrat,गिरफ्रत
paymetrics,पेमैट्रिक्स
fracklin,फ्रैकलिन
vajralingam,वज्रलिंगम
kuein,कुंए
vidos,विडोस
dharmajaya,धर्मजय
samariya,समरिया
climers,क्लाइमरों
periodicals,पीरियाडिकल्स
paledari,पलेदारी
kholyaat,खोल्यात
connectict,कनेक्टिक्ट
honyasathichi,होण्यासाठीची
aakshepaachi,आक्षेपाची
empowered,एंपावर्ड
salahaton,सलाहतों
demos,डीमोज
featings,फीटिंग्स
paryatkas,पर्यटकास
mashveera,मशवीरा
lapkavakar,लपकावाकर
sanhitaayen,संहितायें
safaikade,सफाईकडे
aigen,आइगन
thakanon,थकानों
siddhapith,सिद्धपीठ
skateboarder,स्केटबोर्डर
constantine,कोंस्टैंटाइन
aspataal,अश्पताल
aalekhit,आलेखित
shkplerov,श्कप्लेरोव
adityanakh,आदित्यनाख
paschimakachha,पश्चिमकछा
manjid,मंजिद
varaprasad,वराप्रसाद
kotalpukur,कोटालपुकुर
dhuyen,धुँए
wellcom,वेलकॉम
shishtamandalachya,शिष्टमंडळाच्या
xfel,एक्सएफईएल
masikaa,मासिका
mahekar,माहेकर
sankhyapashchat,संख्यापश्चात
vajeeraabaad,वजीराबाद
jaiha,जइहा
attlee,एट्ली
vishleshnasathi,विश्लेषणासाठी
cfsl,सीएफ़एसएल
aadigyaan,आदिज्ञान
cleenar,क्लीनर
fcra,एफसीआरए
rishwakhori,रिश्वखोरी
sahityanchya,साहित्यांच्या
priyambad,प्रियंबद
kanchikat,कांचीकट
yedireddy,येदिरेड्डी
holselling,होलसेलिंग
bamiyana,बमियाना
handicropt,हैण्डीक्राप्ट
andhras,आंध्रों
padidrishya,पदिदृश्य
khushamati,खुशामती
jyonhee,ज्योंही
prasupta,प्रसुप्त
hagons,हेगन्स
hadappavasiyon,हड़प्पावासियों
revue,रवू
manoramata,मनोरमता
hridayansh,हृदयांश
vidyamanansah,विद्यमानांसह
dharmaram,धर्मराम
indreyanigraha,इन्द्रियनिग्रह
kaarb,कार्ब
todkari,तोडकरी
granthalayachi,ग्रंथालयाची
prathamaansh,प्रथमांश
ncca,एनसीसीए
muhtaajon,मुहताजों
akolyat,अकोल्यात
kraisky,क्राइस्की
moortirahit,मूर्तिरहित
jeetender,जितेन्द्र
gaadhiya,गाढ़िया
afriqiyah,अफ्रीकियाह
bhadolawali,भड़ोलावाली
hacktair,हैकटेयर
upalgaon,उपलगांव
naguib,नागिब
kshamataagat,क्षमतागत
anusandheya,अनुसंधेय
polytechnician,पॉलिटेक्निशियन
collegia,कॉलेजिया
dhinak,धिनक
perdu,पेर्दु
isikon,इसिकों
berojagarankadun,बेरोजगारांकडून
vidyasayon,विद्यासयों
khujla,खुजला
atarasuan,अतरसुआं
neurodegenerative,न्यूरोडिजनरेटिव
jonra,जोनरा
ruksak,रुकसाक
shastrarthkarta,शास्त्रार्थकर्ता
tajjamul,तज्जमुल
rimsevics,रिमसेविक्स
yatkina,यात्किना
comical,कॉमिकल
dendroid,डेंड्रायड
moisturiser,माइश्चराइज़र
gayum,गयुम
buchanani,बुचानानी
lantiginus,लैंटिगिनस
tanjung,तनजुंग
halasuru,हलासुरू
retpetrol,रेटपेट्रोल
norishege,नोरिशेगे
bescope,बेस्कोप
vladmir,व्लादमीर
paritraan,परित्राण
mukananarayana,मुकननारायण
kulhipuria,कुल्हिपुरिया
pratikriyavadi,प्रतिक्रियावादी
pappua,पप्पुआ
shamsheer,शमशीर
lihaadi,लिहाड़ी
truckchalkachi,ट्रकचालकाची
jhongguo,झोंग्गुओ
blm,बीएलएम
ghenyasathichya,घेण्यासाठीच्या
adhakacha,अधकचा
mazdoorin,मजदूरिन
ramsthan,रामस्थान
populated,पॉपुलेटेड
wangyang,वांगयांग
insaclopedia,इनसाक्लोपीडिया
sapreshala,सप्रेशाला
chitnisanchya,चिटणीसांच्या
niyambhangacha,नियमभंगाचा
thokire,ठोकिरे
gunjal,गुंजाल
suvaschandra,सुवासचन्द्र
bhartipur,भरतीपुर
naanhe,नान्हें
lagaayegee,लगायेगी
tyophema,त्योफेमा
tiss,टीआईएसएस
kavitya,कवित्य
mahatvaakaakshaaen,महत्वाकाक्षाएं
tamsoy,तमसोय
shubhusingh,शुभूसिंह
vishayanchihi,विषयांचीही
agrawalchi,अग्रवालची
kololi,कोलोली
dwarpalon,द्वारपालों
palbhishekam,पालभिषेकम
hridvaya,हृद्वय
kankarala,कंकराला
pochoon,पोचून
vladivostok,व्लादिवस्तोक
jagawat,जगावत
surakshamanakon,सुरक्षामानकों
akhlaq,अखलाक़
glootanee,ग्लूटनी
tikaranon,टीकरणों
consolidate,कंसोलीडेट
noorjahaan,नूरजहां
rikhnu,रिखनू
palakdhari,पलकधारी
distoxifation,डिस्टाक्सीफेशन
chatham,चैटम
pukhrauti,पुखरौती
hatavaadh,हटवाड़
nidhiyeet,निधियीत
vivartwad,विवर्तवाद
hitopdesh,हितोपदेश
ghapalebaaz,घपलेबाज़
ganuskhera,गनुसखेरा
sapphire,सैफायर
toolset,टूलसेट
bataavega,बतावेगा
badalhali,बदलहाली
deepakbhai,दीपकभाई
midlands,मिडलैन्ड्स
steelki,स्टीलकी
mikhangos,मिखांगोस
gadmudshingiparyant,गडमुडशिंगीपर्यंत
tibiavera,टिबियावेरा
dhabekar,धाबेकर
npt,एनपीटी
gujaratisahitya,गुजरातीसाहित्य
bahanbeti,बहनबेटी
anasthach,अनास्थाच
mahanton,महंतों
saidullah,सैदुल्लाह
suzman,सुज़मैन
puranmal,पुरनमल
dabula,डबुला
sinkchon,सींकचों
mers,मार्स
bolaagai,बोलागै
sambhalati,सम्भलती
vasoya,वासोया
khelkkadon,खेलक्कड़ों
jirnodrar,जीर्णोद्रार
pachlasa,पचलासा
jyotendra,ज्योतेंद्र
dharanagar,धारानगर
literary,लिटेररी
shokendra,शोकेन्द्र
wellness,वैलनैस्स
bokodi,बोकोडी
sahaliyan,सहलियां
tukum,तुकुम
sujak,सुजाक
papanpal,पापनपाल
gugar,गुगर
maligna,मेलिग्ना
ashshadadi,अश्शदादी
madhyamansah,माध्यमांसह
ottama,ओत्तमा
dystocia,डिस्टोसिया
satpravritt,सत्प्रवृत्त
harebhai,हरेभाई
khandev,खानदेव
sadasen,सदसें
urdhvag,ऊर्ध्वग
phinkawaa,फिंकवा
trambi,त्रांबी
diocene,डायोसिन
gudgudaate,गुड़गुड़ाते
jansampak,जनसंपक
batken,बातकेन
abhyudayday,अभ्युदयदय
stageveroon,स्टेजवरून
sadpura,सदपुरा
tulshi,तुलशी
daluwala,डालूवाला
angmari,अंगमारी
jinkins,जिनकिंस
phosphamidon,फासफैमीडोन
thumairy,थुमैरी
gijgije,गिजगिजे
sarvkalik,सार्वकालिक
antvirrodhon,अंतविर्रोधों
sanjoshjanak,संजोषजनक
ruson,रुसों
mritprasangon,मृतप्रसंगों
almeena,अलमीना
shqin,श्किन्
foxfest,फोक्सफेस्ट
mantroncharan,मंत्रोंचरण
nagao,नागाओ
buroli,बुरोली
rebuilt,रिबिल्ट
rupankit,रूपांकित
calliers,कैलियर्स
taraul,तरौल
simbhaoli,सिम्भौली
borivalila,बोरीवलीला
samlot,समलोट
dayayu,दयायु
bhasmaki,भस्मकी
udagatahanu,उदगतहनु
goregaonkar,गोरेगावकर
nishatesania,निशातेसानिया
shringika,श्रृंगिका
taskiron,तस्कीरों
pordanga,पोरडांगा
chalamalasetty,चलमलशेट्टी
bhushe,भूषे
samvadhanik,संवाधानिक
juvale,जुवाले
bhadakta,भड़कता
photographron,फोटोग्राफरों
rockybul,रॉकीबुल
taslon,तसलों
goswimi,गोस्वीमी
patnivashikaran,पत्नीवशीकरण
katdhare,कटधरे
radwanska,रादवान्स्का
sarsuti,सरसुती
obharasiyar,ओभरसियर
tirunaraiyur,तिरुनारैयूर
lyalpur,लीलपुर
ikleem,इकलीम
uris,यूआरआईएस
mahanagarpalike,महानगरपालिके
mastrodicasa,मास्त्रोदिकासा
motoyuva,मोटोयुवा
basavanna,बासवन्ना
paripurtata,परिपूर्तता
nasrulaganj,नसरुलागंज
helchh,हेल्छ
finlease,फिनलेज
nirihaay,निरीहाय
donpadri,दोनपदरी
karihav,करिहव
kerede,केरेडे
poojon,पूजों
chhatraneeti,छात्रनीति
smaish,स्मैश
prematva,प्रेमत्व
motorschi,मोटर्सची
bebasundar,बेबसुन्दर
deplay,डिप्ले
rosamund,रोसामंड
khatikpura,खटीकपुरा
samajen,समजें
mabsher,मबशेर
templates,टेम्प्लेट्स
derasariya,देरासरिया
anibarya,अनिबार्य
memoirs,मेमॉयर्स
dostini,दोस्तिनी
moinatali,मोइनताली
yunash,युनश
velodrome,वेलोड्रम
aprsaf,एपीआरएसएएफ
bittorrents,बिटट्रेनेट्स
symmetric,सिमेट्रिक
sankrendit,संक्रेंदित
nyaypalikaa,न्यायपालिका
digitalised,डिजीटलाइज्ड
sahmatijanya,सहमतिजन्य
jhangping,झांगपिंग
costosas,कॉस्टोसास
buddhisth,बुद्धिस्थ
aahaarsaathi,आहारसाठी
bijoya,बिजॉय
prakan,प्राकाण
pravrutiyon,प्रवृतियों
meghupur,मेघूपुर
arnali,अरनाली
shokhpura,शोखपुरा
lilank,लिलंक
amoeba,अमीबा
mehnatwala,मेहनतवाला
paratichary,पैराटीचरी
pravritiyaan,प्रवृतियाँ
portfolio,पोर्टफोलियों
anshani,अंशानी
pandharaavarshiya,पंधरावर्षीय
timakati,टिमकती
bhramanarthi,भ्रमणार्थि
shejra,शेजरा
nirbhaydas,निर्भयदास
wetligo,वेटलिगो
josal,जोसल
sikhaaein,सिखायें
heerakpankh,हीरकपंख
toroko,तोरोको
kotsachik,कोत्सचिक
nimiton,निमितों
certifcate,सर्टिफकेट
thehla,ठेहला
hormonal,हॉरमोनल
parrikarji,पर्रिकरजी
jehadio,जेहादियो
snowbound,स्नोबाउंड
zernalist,ज़र्नलिस्ट
udaropasth,उदरोपस्थ
adimora,अदिमोरा
khafre,खफरा
lahooluhana,लहूलुहान
probola,प्रोबोला
bramhagupta,ब्रम्हगुप्त
banjaran,बंजारान
allertova,एलर्टोवा
pratyantardashanath,प्रत्यंतर्दशानाथ
kunjapuri,कुन्जापुरी
panchpeeth,पंचपीठ
parinamata,परिणामत
gunagaati,गुणगाती
vyaahalon,व्याहलों
kalachuvandu,कलाचुवंडू
jhendesah,झेंडेसह
fitriana,फितरियाना
naito,नाइतो
rangkamache,रंगकामाचे
ishwarattav,ईश्वरत्तव
resistant,रेसिस्टेंट
nikaybat,निकायबाट
tarsogi,तरसोगी
visaakt,विसाक्त
mirjela,मिरजेला
chatraj,चटराज
aujaar,औजार
uthavaayache,उठवायचे
worrall,वोरॉल
krishnatirthaji,कृष्णतीर्थजी
mullacha,मुल्लाचा
sukhir,सुखीर
ceremonian,सेरेमोनियन
omsharan,ओमशरण
samaanantar,समानांतर
zoravarsinhpura,जोरावरसिंहपुरा
distibutors,डिस्टीब्यूटरों
francisiyon,फ्रांसीसियों
hajibal,हाजीबल
ramahridaya,रामहृदय
punaruktiprakash,पुनरुक्तिप्रकाश
arne,आरने
tinkothia,तिनकोठिया
paramatmabhav,परमात्मभाव
comparison,कम्पैरिसन
panchdevariya,पंचदेवरिया
raimatbai,रैमतबाई
frontline,फ़्रंटलाइन
grihya,गृहय
keetvaigyaanikon,कीटवैज्ञानिकों
sureshgiri,सुरेशगिरि
balwantnagar,बलवंतनगर
mormon,मॉर्मोन
passengership,पैसेंजरशिप
noojat,नूजत
biomodel,बायोमोडल
spenks,स्पेंक्स
parmartho,परमार्थो
firyadivar,फिर्यादीवर
raudrontako,रौद्रोन्तको
mendabai,मेंदाबाई
amnesty,अमनेस्टी
sangliche,सांगलीचे
kabini,कबिनी
sihaulia,सिहौलिया
thackeray,ठाकर
upcomink,अपकमिंक
shaijwar,शैजवार
muzalda,मुजाल्दा
stearmide,स्टियरमाइड
huddard,हडर्ड
maaruuf,मारूफ़
amitara,अमीतारा
nailatikau,नेलातिको
dakhaldahani,दखलदहानी
intustring,इंटस्ट्रिंग
sarokhipura,सरोखीपुरा
devandi,देवन्दी
bahiralap,बहिरालाप
sarsela,सरसेला
ayesh,अय्याश
wudhar,वुधार
chavakkad,चवक्कड
bhagwatmahapuran,भागवतमहापुराण
ispasht,इसपष्ट
sansthasanon,संस्थासनों
jacoby,जैकोबी
nivasigaon,निवासीगांव
yuichiro,युइचिरो
aakhike,आखिके
ninetigale,नाइनटीगेल
frennell,फ्रेनेल
balkavita,बालकविता
veslo,वेस्लो
udyeg,उद्येग
frohman,फ्रोहमैन
onyango,ओनियांगो
esmeralda,एस्मेरल्दा
vidhaaki,विधाकी
raswali,रसवाली
begm,बेग़म
niruparan,निरूपरण
baadudiya,बादुड़िया
collected,कलक्टेड
muslimpan,मुस्लिमपन
kakanchya,काकांच्या
rambhaiya,रामभैया
parcella,पार्सेला
pretoria,प्रिटोरिया
tasavi,तसवी
mahasthavir,महास्थवीर
shandlear,शैंडलियर
petrolean,पेट्रोलियन
ailan,ऐलान
nogawan,नोगावां
genovate,जेनोवेट
thaharaay,ठहराय
rashtrasvasthya,राष्ट्रस्वास्थ्य
kanchinath,कांचीनाथ
sheedi,शीदी
farshad,फरशाद
jhaabala,झाबला
malkane,मालकाने
automobil,आटोमोबिल
utaralen,उतरलें
talsania,तलसानिया
jilanishi,जिलानीशी
beuwa,बेउवा
scrabble,स्क्रैबुलस
saduwal,सदूवाल
pumflate,पंफ्लेट
morjhar,मोरझर
tahanlelyala,तहानलेल्याला
sadev,सदेव
maanete,मानेते
karhani,करहानी
sudurvarti,सुदूरवर्ती
dusk,डेटस्कलैंड
phorid,फॉरिड
anusandhani,अनुसंधानी
binyu,बिन्यू
diljamaichi,दिलजमाईची
galvanometer,गैल्वानोमीटर
birahiya,बिरहिया
adhadhakaay,अधधकाय
maagate,मागते
golabh,गोलभ
eksootreeya,एकसूत्रीय
samayanuar,समयनुआर
rasamon,रस्मों
rehavilitation,रिहेव्लिटेशन
abstemius,एब्सटेमियस
samoohonke,समूहोंके
laharaayo,लहरायो
kiritsh,कीर्तिश
sakaalatah,सकालतः
tatale,तटले
kirantikari,किरान्तिकारी
shaharse,शहरसे
encrenaz,एन्क्रेनाज़
akleem,अकलीम
malaudzi,मलाउद्जी
geronimo,गेरोनिमो
warcester,वॉरसेस्टर
maidaanmein,मैदानमें
malayawan,मलयावन
chikitsalya,चिकित्साल्य
inrolment,इंरोलमेंट
achintyay,अचिंत्याय
bechainiya,बेचैनिया
yesern,येसर्न
grandparent,ग्रैंडपेरेंट
paimaishon,पैमाइशों
rodrigue,रोड्रिग
aarkarshit,आर्कर्षित
shramshikt,श्रमशिक्त
colaco,कोलाको
karyashakti,कार्यशक्ति
syndicateche,सिंडिकेटचे
scooters,स्कूटर्स
mertes,मर्टेस
kauthi,कैथी
textphone,टैक्स्टफ़ोन
banarwal,बनरवाल
dastakar,दस्ताकार
motichouk,मोतीचौक
bugis,बुगीस
heensala,हींसला
everyday,एवरीडे
dataron,दातारों
muhammadan,मुहम्मडन
tpp,टीपीपी
daihaton,देहातों
crabes,क्रेब्स
spasmoproxivon,स्पाजमोप्रोक्सीवॉन
prajatioka,प्रजातिओका
hopton,हॉप्टन
strayer,स्ट्रेयर
paravat,परवत
honyaparyant,होण्यापर्यंत
stadler,स्टैडलर
multibranded,मल्टीब्रैंडेड
sayar,शायर
pediatrics,पीडियट्रिक्स
chavaada,चवाड़ा
khilchipur,खिलचीपुर
sajanagad,सजनागढ़
bayabalmadheel,बायबलमधील
langings,लैंगिंग्स
tathyonke,तथ्योंके
piparia,पिपरिया
prasupt,प्रसुप्त
announcing,अनाउंसिंग
nelkalar,नेलकलर
naagabhid,नागभीड़
chitraay,चित्राय
validated,वैलिडेटेड
parganaadhikaariyon,परगनाधिकारियों
paaycheet,पायचीत
menada,मेनाडा
shaquni,शकुनि
sautaniyaa,सौतनिया
pranamati,प्रणमति
alpaviramon,अल्पविरामों
walport,वालपोर्ट
bandhnanmrutyomukshya,बन्धनान्मृत्योर्मुक्षीय
rins,रिंस
toufique,तौफिक
dhulaataa,धुलाता
wavill,वेविल
bhagwanpur,भगवानपुर
amangalwar,अमंगलवार
laterheadcha,लेटरहेडचा
pachevar,पचेवर
berberia,बर्बेरिया
muthusamy,मुथुसैमी
christiensen,क्रिस्टिएंसन
kamiya,कामिया
territories,टेरिटरीज
rajyaghatnenusar,राज्यघटनेनुसार
santajine,संताजीने
tsdf,टीएसडीएफ
drafts,ड्रॉफ्ट्स
shakat,शकट
uddnd,उद्दंड
kenworth,केनवर्थ
kaakubh,काकुभ
input,इनपूट
hayati,हयाती
hikmateyar,हिक्मतेयार
currenstarch,करेंस्टार्च
addhaa,अद्धा
swayamsek,स्वयंसेक
dandotia,डंडोतिया
emimation,एमिमेशन
bruun,ब्रून
mershah,मेरशाह
haivaaniyatah,हैवानियतः
kasabale,कसबले
caldeira,कैल्डेरा
mahagherao,महाघेराव
locart,लोकार्ट
khnd,खंड़
gudanal,गुदानाल
dhupdeep,धूपदीप
unmalimited,अनमलिमिटेड
uyyalawada,उय्यलावाडा
mcduff,मैकडफ
khambat,खंबात
bebakiyan,बेबाकियां
sarto,सरतो
ayre,आइर
kilhaura,किलहौरा
kakadiya,ककड़िया
vaasghaaton,वासघातों
padaarpanon,पदार्पणों
nimtsov,निम्त्सोव
kurlin,कार्लिन
uiams,यूआईएएमएस
chatroom,चैटरूम
weedmyer,वीडमायर
seifert,शीफर्ट
gaurada,गौरदा
chaandchaur,चाँदचौर
delamination,डिलेमिनेशन
dopaharbhoj,दोपहरभोज
uchchakke,उच्चक्के
atibouddhikta,अतिबौद्धिकता
ghaskul,घासकुल
vatunishtha,वतुनिष्ठ
dhruvdas,ध्रुवदास
modhesh,मोधेश
daabargaon,डाबरगाँव
ikhtivor,इख्तिवोर
hasyasaspad,हास्यासस्पद
parypquan,परिपक्वन
deepike,दीपिके
nagrikanchehi,नागरिकांचेही
munward,मुनवर्द
oleksandr,ओलेक्सांद्र
manraji,मनराजी
videog,वीडियोग
rammelsberg,रमेल्सबर्ग
paralytic,पैरेलिटिक
lapetiye,लपेटिये
joypurhat,जयपुरहट
udarmul,उदरमूल
magisterial,मजिस्टीरियल
verkilambi,वेर्किलम्बी
rajgami,राजगामी
rebelo,रोबेलो
whizzer,व्हिजर
rampatiya,रामपतिया
chaheti,चहेती
haansvijak,हॉन्सविज़्क
casuarina,कैजुआरिना
mahatvakan,महत्वाकां
nivadanukidivashi,निवडणुकीदिवशी
manasviyon,मनस्वियों
maatii,माटी
hinoniya,हिनोनिया
nirumand,निरुमंद
sashaktikaranh,सशक्तिकरणः
bumaria,बुमरिया
amruthalur,अमरुथलूर
renegade,रेनेगेड
saurabh,सौऱभ
acrylamide,एक्रिलेमाइड
missaayilon,मिसाइलों
helmithosporium,हेलमिथोस्पोरियम
cristiano,क्रिस्टीयानो
savonin,सैवोनिन
natufian,नैचुफियन
serek,सेरेक
gaath,गाथ
shambhu,शंभु
ghusunga,घुसूंगा
saanidhyasah,सानिध्यसह
adanar,अदानार
lagaari,लगारी
sethiyaa,सेठिया
dandrupi,दंडरूपी
bhadrecha,भद्रेचा
gyal,ग्याल
dern,डेर्न
bitaayi,बिताई
telivijon,टेलीविजन
amarnal,अमरनाल
dheerhi,धीरही
adatia,अदातिया
communicative,कम्यूनिकेटिव
vaidyeswaran,वैद्येश्वरन
sekhri,सेखरी
santorium,सैनटोरियम
kuhkhaad,कुःखाद
karadchya,कराडच्या
hohn,हॉन
daramdora,दरामदोरा
besiye,बेसिए
bankone,बैंकोने
sabhanchi,सभांची
sugndhi,सुगन्धि
yila,यिला
buckward,बकवर्ड
marganite,मार्गनाईट
kaarpremiyon,कारप्रेमियों
adaiah,अदायाह
yorra,योरा
sohila,सोहिला
joshichi,जोशीची
aatmashakti,आत्मशक्ति
pitribodhak,पितृबोधक
drishyantarit,दृश्यांतरित
dhorala,धोराला
andrenaline,एंड्रेनालाइन
deenbandh,दीनबंध
yotibafule,योतिबाफुले
jepsen,जेप्सेन
chhodens,छोड़ेंस
devatu,देवातु
petman,पेटमैन
biviyon,बिवियों
parekh,पारेख
mantrimndlon,मंत्रिमण्डलों
issue,इश्यूज
deepgarbh,दीपगर्भ
chimmalgi,चिमलगी
abhida,अभिधा
kashko,काशको
shivlingarchan,शिवलिंगार्चन
grounting,ग्राउंटिंग
samshodhan,समशोधन
ramshin,रामशिन
kurediye,कुरेदिये
muzazafar,मुज़ज़फ़र
swaanandalok,स्वानन्दलोक
lorne,लॉर्न
peerumedu,पेरूमेदु
titapan,तीतापन
yutipeksha,युतीपेक्षा
janrakshak,जनरक्षक
shiamen,शियामेन
manmutaavon,मनमुटावों
ilmarog,इल्मरोग
amsita,अमसीता
gharwai,घरवाई
sapota,स्पोटा
sugumachame,सुगुमचमे
sinyur,सिंयूर
fengcheng,फेंगचेंग
transprency,ट्रांसप्रेंसी
sagarkumar,सागरकुमार
lagrez,लैग्रेज
ponmalai,पोनमलाई
berochagari,बेरोचागारी
thullan,थुल्लन
keediyan,कीडियां
mostwanted,मोस्टवांटेड
tamhini,तामहिनी
pampashejari,पंपाशेजारी
updashon,उपदशों
mozakka,मोजक्का
aibea,आईबीईए
daakotiyon,डाकोतियों
istambool,इस्तम्बूल
kaampaliketid,कांपलीकेटिड
hiriswe,हिरिसवे
primevert,प्रीमेवर्ट
hematodrosis,हेमैटोड्रोसिस
grannery,ग्रैनरी
zoru,जोरू
kaalgananepramaane,कालगणनेप्रमाणे
navaratrotsavanantar,नवरात्रोत्सवानंतर
hullahedi,हुल्लाहेड़ी
lasinchi,लसींची
barkhola,बरखोला
salme,सलमे
jangneh,जंगनेह
aksharse,अक्षरसे
ahmakon,अहमकों
refinitive,रीफिनिटिव
kimobile,किमोबाइल
dhakela,ढकेल
inds,इंड्स
tecrocrates,टेक्रोक्रेट्स
wachovia,वाचोविया
mott,मॉट
gatapasoon,गटापासून
shanimol,शानिमोल
ganai,गनई
suprakob,सुप्रकोब
jogbahar,जोगबहार
naubhaav,नौभाव
toffer,टॉफर
paarimaanik,पारिमाणिक
ahisas,अहिसास
guchia,गुचिया
alpaniroopit,अल्पनिरूपित
behek,बहक
